Metric,2025,2026,2027,2028,2029
CAPEXCost,60000.0,60000.000000000015,22870.07384615375,2500.0,0.0
OPEXCost,206691.98282499998,310208.7905173077,371196.387825,425457.543325,548727.168325
#50KWChargers,0.0,0.0,0.0,0.0,0.0
#400KWChargers,1.0,0.0,0.0,1.0,0.0
SolarCapacity,127.77777777777777,72.22222222222223,0.0,0.0,0.0
BatteryCapacity,0.0,96.15384615384617,84.0811538461535,0.0,0.0
SolarExportRevenue,231430.27777777775,247526.15384615381,186515.0,95796.513,74298.01300000002
BatteryExportRevenue,0.0,4387.019230769231,19735.732499999962,0.0,0.0
TotalCost,35261.7050472222,118295.61744038465,187815.72917115377,332161.03032499994,474429.15532499994
